City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Ellsworth,US,2022-08-04 16:03:58,44.5434,-68.4195,304.02,70,0,8.23
68,Bantou,CN,2022-08-04 16:03:58,26.2151,117.4893,297.9,85,4,1.39
69,Hobart,AU,2022-08-04 16:02:46,-42.8794,147.3294,281.63,76,99,0.45
70,Pisco,PE,2022-08-04 16:02:52,-13.7,-76.2167,290.94,75,34,3.71
71,Constitucion,CL,2022-08-04 16:03:59,-35.3333,-72.4167,286.09,61,12,3.72
72,Bambous Virieux,MU,2022-08-04 15:59:31,-20.3428,57.7575,294.94,73,40,6.17
73,Kulhudhuffushi,MV,2022-08-04 16:04:00,6.6221,73.07,300.03,83,100,9.86
74,Gorontalo,ID,2022-08-04 16:02:03,0.5412,123.0595,297.15,94,100,1.48
75,General Roca,AR,2022-08-04 16:04:00,-39.0333,-67.5833,286.27,40,80,8.18
76,Fort Nelson,CA,2022-08-04 16:00:22,58.8053,-122.7002,285.36,85,100,2.44
77,Hilo,US,2022-08-04 16:03:55,19.7297,-155.09,298.86,77,0,3.09
78,Upernavik,GL,2022-08-04 16:04:01,72.7868,-56.1549,279.75,64,100,1.26
79,Pemba,MZ,2022-08-04 16:04:02,-12.974,40.5178,297.27,69,0,4.58
80,San Agustin,MX,2022-08-04 16:04:03,20.5333,-103.4667,295.1,68,0,0.0
81,Butembo,CD,2022-08-04 16:04:03,0.15,29.2833,290.12,81,66,1.0
82,Broome,US,2022-08-04 16:01:37,42.2506,-75.833,307.09,57,20,1.79
83,Puerto Montt,CL,2022-08-04 16:04:05,-41.4698,-72.9447,280.61,87,75,3.09
84,Smoky Lake,CA,2022-08-04 16:04:05,54.1169,-112.4686,287.43,88,100,4.2
85,Albany,US,2022-08-04 16:00:08,42.6001,-73.9662,307.38,51,15,0.45
86,Lavrentiya,RU,2022-08-04 16:04:06,65.5833,-171.0,282.71,93,97,2.23
87,Port Hardy,CA,2022-08-04 16:03:17,50.6996,-127.4199,287.09,82,96,2.81
88,Putina,PE,2022-08-04 16:05:07,-15.4667,-69.4333,281.92,55,94,1.94
89,Leh,IN,2022-08-04 16:05:07,34.1667,77.5833,293.65,31,35,3.06
90,Atar,MR,2022-08-04 16:05:08,20.5169,-13.0499,311.19,24,1,4.96
91,Ystad,SE,2022-08-04 16:05:09,55.4297,13.8204,303.91,56,90,4.52
92,Westport,US,2022-08-04 16:04:08,41.1415,-73.3579,307.82,60,0,3.09
93,Marawi,PH,2022-08-04 16:05:09,7.9986,124.2928,293.69,95,100,1.44
94,Mumford,GH,2022-08-04 16:05:10,5.2618,-0.759,296.55,75,77,5.01
95,Cabra,ES,2022-08-04 16:05:10,37.4725,-4.4421,309.73,15,0,8.85
96,Teguise,ES,2022-08-04 16:05:11,29.0605,-13.564,300.27,54,20,9.26
97,Kholtoson,RU,2022-08-04 16:05:11,50.2981,103.3097,286.76,96,98,1.75
98,Chicama,PE,2022-08-04 16:05:12,-7.8447,-79.1469,290.45,62,73,2.96
99,Dikson,RU,2022-08-04 16:05:12,73.5069,80.5464,283.23,96,100,8.31
100,Saint-Philippe,RE,2022-08-04 16:03:10,-21.3585,55.7679,293.92,78,31,5.02
101,Nikolskoye,RU,2022-08-04 16:05:13,59.7035,30.7861,300.09,46,80,1.9
102,East London,ZA,2022-08-04 16:05:14,-33.0153,27.9116,291.66,71,79,3.78
