City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
202,Tecoanapa,MX,29.03,overcast clouds,16.5167,-98.75,Hotel Manglares
204,Half Moon Bay,US,29.19,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
207,Abbeville,FR,24.98,clear sky,50.1,1.8333,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
210,Oussouye,SN,26.97,overcast clouds,12.485,-16.5469,Auberge du Routard
211,Yarmouth,US,23.88,broken clouds,41.7057,-70.2286,Blue Rock Resort
213,Madras,IN,29.99,scattered clouds,13.0878,80.2785,"Taj Connemara, Chennai"
215,Naze,JP,26.27,overcast clouds,28.3667,129.4833,Shishime Hotel
217,San Quintin,MX,25.26,overcast clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
219,San Cristobal,VE,27.98,broken clouds,7.7669,-72.225,Pirineos
220,Bathsheba,BB,28.16,clear sky,13.2167,-59.5167,Atlantis Hotel
225,Sembe,CG,22.36,overcast clouds,1.6481,14.5806,
228,Lodja,CD,25.2,overcast clouds,-3.4833,23.4333,
229,Hithadhoo,MV,27.54,moderate rain,-0.6,73.0833,Scoop Guest House
230,Beaupre,CA,24.27,scattered clouds,47.0443,-70.8953,Hébergement Mont-Sainte-Anne
231,Kalianget,ID,26.93,broken clouds,-7.05,113.9333,Pesanggrahan Garam
232,Yangambi,CD,23.06,overcast clouds,0.8102,24.4336,
235,Minot,US,23.12,clear sky,48.2325,-101.2963,Noble Inn
237,Palauig,PH,26.62,broken clouds,15.435,119.9045,Villa Raphael Resort
238,Hamada,JP,25.42,overcast clouds,34.8833,132.0833,Shimane Hamada Washington Hotel Plaza
239,Boa Vista,BR,29.99,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
240,Mansa,IN,26.58,overcast clouds,29.9833,75.3833,STARiHOTEL Mansa
242,Kiunga,PG,22.78,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
244,Seoul,KR,22.66,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
246,Moerai,PF,22.52,clear sky,-22.4333,-151.3333,Le Manotel
248,Bakel,SN,29.83,light rain,14.905,-12.4568,Ablaye Diallo Bakel
249,Lorengau,PG,26.48,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
